City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Kosonsoy,UZ,2020-12-28 01:01:08,41.26,71.55,30.2,86,90,2.24,light snow
162,Husavik,IS,2020-12-28 00:53:50,66.04,-17.34,32.0,91,75,23.04,light snow
163,Voznesenye,RU,2020-12-28 01:01:08,61.01,35.48,17.19,92,100,8.48,overcast clouds
164,Faya,SA,2020-12-28 00:53:53,18.39,42.45,51.8,57,0,2.51,clear sky
165,Marsh Harbour,BS,2020-12-28 01:00:13,26.54,-77.06,69.4,71,0,22.44,clear sky
166,Nichinan,JP,2020-12-28 01:01:09,31.6,131.37,51.8,100,75,5.82,broken clouds
167,Kalamazoo,US,2020-12-28 01:00:41,42.25,-85.55,42.8,93,90,4.7,overcast clouds
168,Biaora,IN,2020-12-28 01:01:10,23.87,76.92,50.41,44,0,6.6,clear sky
169,Doaba,PK,2020-12-28 01:01:10,33.42,70.74,35.13,78,0,2.26,clear sky
170,Clyde River,CA,2020-12-28 00:52:09,70.47,-68.59,-11.2,83,100,27.51,snow
171,Leningradskiy,RU,2020-12-28 00:59:46,69.38,178.42,-10.93,77,0,4.16,clear sky
172,Kendari,ID,2020-12-28 00:54:18,-3.94,122.5,82.76,79,100,2.08,overcast clouds
173,Vaini,TO,2020-12-28 00:53:17,-21.2,-175.2,82.4,88,75,3.36,moderate rain
174,Isangel,VU,2020-12-28 00:58:31,-19.55,169.27,82.06,71,74,9.46,broken clouds
175,Caravelas,BR,2020-12-28 00:54:30,-17.71,-39.25,74.93,87,0,5.57,clear sky
176,Adeje,ES,2020-12-28 01:01:12,28.12,-16.73,60.8,77,20,3.36,few clouds
177,Ulladulla,AU,2020-12-28 01:01:12,-35.35,150.47,64.4,82,90,17.22,overcast clouds
178,Sexsmith,CA,2020-12-28 01:01:13,55.35,-118.79,10.4,92,40,2.24,scattered clouds
179,Dawlatabad,AF,2020-12-28 01:01:13,36.41,64.91,21.97,94,0,2.68,clear sky
180,Kajaani,FI,2020-12-28 01:01:13,64.23,27.73,26.6,86,90,14.99,overcast clouds
