City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Yumbe,UG,2020-12-24 21:46:39,3.47,31.25,73.58,54,9,5.23
183,Nanortalik,GL,2020-12-24 21:46:39,60.14,-45.24,27.34,90,100,37.51
184,Los Llanos De Aridane,ES,2020-12-24 21:46:40,28.66,-17.92,69.8,52,0,13.87
185,Alice Springs,AU,2020-12-24 21:46:40,-23.7,133.88,62.6,93,40,13.18
186,Kudahuvadhoo,MV,2020-12-24 21:46:40,2.67,72.89,80.58,74,64,4.61
187,Waipawa,NZ,2020-12-24 21:46:40,-41.41,175.52,60.01,100,95,13.87
188,Santa Helena De Goias,BR,2020-12-24 21:46:41,-17.81,-50.6,77.45,75,36,2.39
189,Mossendjo,CG,2020-12-24 21:46:41,-2.95,12.73,71.78,98,99,3.36
190,Lebu,CL,2020-12-24 21:46:41,-37.62,-73.65,60.87,78,0,14.32
191,Plettenberg Bay,ZA,2020-12-24 21:46:41,-34.05,23.37,62.35,77,0,1.97
192,Walvis Bay,NA,2020-12-24 21:46:41,-22.96,14.51,64.99,82,3,8.05
193,Minsk,BY,2020-12-24 21:46:42,53.9,27.57,33.8,100,90,6.71
194,Kathmandu,NP,2020-12-24 21:46:42,27.72,85.32,41.0,93,20,3.36
195,Riyadh,SA,2020-12-24 21:46:42,24.69,46.72,55.4,54,0,4.7
196,Challapata,BO,2020-12-24 21:46:43,-18.9,-66.77,60.66,43,89,12.08
197,Lompoc,US,2020-12-24 21:46:43,34.64,-120.46,71.6,11,1,8.05
198,La Grande,US,2020-12-24 21:46:43,45.32,-118.09,39.2,35,1,28.86
199,Jaranwala,PK,2020-12-24 21:44:12,31.33,73.43,51.24,46,0,3.2
200,Mulege,MX,2020-12-24 21:46:43,26.88,-111.98,66.09,39,100,18.1
201,San Cristobal,VE,2020-12-24 21:43:29,7.77,-72.22,78.8,69,40,5.82
202,Goulburn,AU,2020-12-24 21:46:44,-34.75,149.72,60.01,83,95,4.0
203,Medea,DZ,2020-12-24 21:46:44,36.26,2.75,51.8,93,20,2.24
204,Nanga Eboko,CM,2020-12-24 21:46:44,4.68,12.37,72.64,69,33,4.05
205,Olafsvik,IS,2020-12-24 21:46:44,64.89,-23.71,44.64,92,100,33.93
206,Neiafu,TO,2020-12-24 21:46:45,-18.65,-173.98,84.2,74,40,6.93
207,Gornyy,RU,2020-12-24 21:46:45,55.12,83.91,6.57,95,100,15.28
208,Carauari,BR,2020-12-24 21:46:45,-4.88,-66.9,80.46,80,76,2.3
209,Birao,CF,2020-12-24 21:46:45,10.28,22.79,75.4,27,30,5.3
210,Batagay-Alyta,RU,2020-12-24 21:46:46,67.8,130.41,-18.76,84,100,4.25
211,Dunedin,NZ,2020-12-24 21:46:46,-45.87,170.5,59.0,58,38,5.99
212,Kodinsk,RU,2020-12-24 21:46:46,58.69,99.18,-18.99,83,100,5.28
213,Airai,TL,2020-12-24 21:46:46,-8.93,125.41,61.74,100,100,0.34
214,Bilma,NE,2020-12-24 21:46:46,18.69,12.92,61.39,39,6,13.98
215,Marsh Harbour,BS,2020-12-24 21:46:47,26.54,-77.06,77.2,77,9,19.28
216,Belyy Yar,RU,2020-12-24 21:46:47,53.6,91.39,23.0,67,0,17.9
217,Marolambo,MG,2020-12-24 21:46:47,-20.05,48.12,70.02,93,82,0.51
218,Husavik,IS,2020-12-24 21:46:47,66.04,-17.34,50.0,57,40,26.4
219,Mangrol,IN,2020-12-24 21:46:47,21.12,70.12,66.07,39,0,10.4
220,Turbat,PK,2020-12-24 21:46:48,26.0,63.04,58.53,50,0,2.55
221,Los Barrios,ES,2020-12-24 21:46:48,36.18,-5.49,59.0,72,48,5.82
222,Mwene-Ditu,CD,2020-12-24 21:46:48,-7.0,23.45,65.03,97,39,4.0
223,Bantry,IE,2020-12-24 21:46:48,51.68,-9.45,36.9,81,44,3.22
224,Moerai,PF,2020-12-24 21:46:49,-22.43,-151.33,77.86,80,79,11.59
225,San Andres,CO,2020-12-24 21:46:49,12.58,-81.7,86.0,66,20,5.82
226,Sorso,IT,2020-12-24 21:46:49,40.8,8.58,55.4,82,20,4.7
227,Santa Rosa,PH,2020-12-24 21:46:49,14.31,121.11,77.0,83,20,2.24
228,Zhanaozen,KZ,2020-12-24 21:46:49,43.3,52.8,20.21,90,100,12.03
229,Kamaishi,JP,2020-12-24 21:42:16,39.27,141.88,36.59,76,29,7.45
230,Klaksvik,FO,2020-12-24 21:46:50,62.23,-6.59,42.8,93,100,13.87
231,Peleduy,RU,2020-12-24 21:46:50,59.63,112.74,-22.25,84,97,1.7
232,Santa Marta,CO,2020-12-24 21:45:05,11.24,-74.2,87.01,66,10,14.0
233,Tigil,RU,2020-12-24 21:46:51,57.8,158.67,-6.48,76,95,4.27
234,Trenggalek,ID,2020-12-24 21:46:51,-8.05,111.72,73.33,84,22,1.48
235,Southbridge,US,2020-12-24 21:46:51,42.08,-72.03,51.01,83,100,7.0
236,Rancho Palos Verdes,US,2020-12-24 21:42:12,33.74,-118.39,60.8,29,90,12.46
237,Shingu,JP,2020-12-24 21:46:52,33.73,135.98,42.57,80,100,8.5
238,Balkhash,KZ,2020-12-24 21:46:52,46.84,74.98,6.66,83,21,4.9
239,Yining,CN,2020-12-24 21:46:52,29.04,114.56,40.08,78,0,1.57
240,Payo,ID,2020-12-24 21:46:52,-3.75,103.64,72.73,94,100,1.07
241,North Bend,US,2020-12-24 21:46:05,43.41,-124.22,53.01,53,1,11.41
242,Victoria,HK,2020-12-24 21:45:56,22.29,114.16,66.99,77,61,1.01
243,Mount Gambier,AU,2020-12-24 21:42:16,-37.83,140.77,55.4,76,93,6.93
244,Moron,AR,2020-12-24 21:46:53,-34.65,-58.62,90.0,29,28,7.0
245,Bilibino,RU,2020-12-24 21:46:54,68.05,166.44,-23.69,83,100,3.18
246,Vao,NC,2020-12-24 21:46:54,-22.67,167.48,76.75,68,100,5.75
247,Avera,US,2020-12-24 21:46:54,33.19,-82.53,59.0,94,90,6.93
248,Geaca,RO,2020-12-24 21:46:54,46.87,24.1,50.0,93,20,3.36
249,Petrivka,UA,2020-12-24 21:46:55,46.97,30.96,46.4,100,90,13.42
250,Orlik,RU,2020-12-24 21:46:55,52.52,99.83,-6.48,80,37,4.45
251,Half Moon Bay,US,2020-12-24 21:46:55,37.46,-122.43,57.99,57,75,2.01
252,Eskisehir,TR,2020-12-24 21:46:55,39.78,30.52,32.0,84,0,2.24
253,Koson,UZ,2020-12-24 21:45:03,39.04,65.58,44.6,70,75,4.7
254,Pendleton,US,2020-12-24 21:46:56,45.67,-118.79,34.0,74,1,4.7
255,Davenport,US,2020-12-24 21:42:19,41.52,-90.58,15.8,52,1,14.99
256,Dingle,PH,2020-12-24 21:46:56,11.0,122.67,74.88,91,34,6.91
257,Flinders,AU,2020-12-24 21:46:57,-34.58,150.86,66.0,74,96,4.0
258,Coihueco,CL,2020-12-24 21:46:55,-36.62,-71.83,86.0,17,0,11.41
259,Broome,US,2020-12-24 21:46:57,42.25,-75.83,46.99,100,90,12.75
260,Brcko,BA,2020-12-24 21:46:57,44.87,18.81,57.2,62,40,4.7
261,Kannad,IN,2020-12-24 21:46:57,20.27,75.13,60.98,41,0,6.51
262,Ulundi,ZA,2020-12-24 21:46:58,-28.34,31.42,66.42,86,100,0.34
263,Gornopravdinsk,RU,2020-12-24 21:46:58,60.05,69.9,-33.39,82,1,4.94
264,Biloela,AU,2020-12-24 21:46:58,-24.42,150.5,73.72,66,96,9.6
265,Grants,US,2020-12-24 21:46:58,35.15,-107.85,41.0,13,1,14.99
266,Cairns,AU,2020-12-24 21:46:59,-16.92,145.77,77.0,94,75,1.12
